data$StartDate,data$Finished,data$DistributionChannel,data$accetto.non.accetto,sbj,a_1,a_2,a_3,a_logic1,a_logic2,a_logic3,a_logic4,a1_1,a1_2,a1_3,a1_logic1,a1_logic2,a1_logic3,a1_logic4,b_visuo1,b_visuo2,b_visuo3,b_logic1,b_logic2,b_logic3,b_logic4,b1_visuo1,b1_visuo3,b1_visuo2,b1_logic1,b1_logic2,b1_logic3,b1_logic4
14/12/2022 06:58,1,anonymous,1,113,correct,correct,correct,ic.flip,ic.inc,correct,correct,correct,correct,ic.flip,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
14/12/2022 09:59,1,anonymous,1,114,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
14/12/2022 10:40,1,anonymous,1,115,ic.neg,correct,correct,ic.flip,correct,correct,correct,correct,correct,wp.copy.ic.flip,ic.flip,d.union,correct,correct,correct,correct,correct,wp.matrix,wp.matrix,correct,correct,correct,correct,correct,d.union,correct,ic.flip,correct
14/12/2022 11:45,1,anonymous,1,116,correct,correct,ic.flip,correct,ic.inc,correct,correct,ic.flip,correct,correct,correct,ic.inc,ic.inc,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
14/12/2022 16:52,1,anonymous,1,117,ic.flip,correct,correct,wp.matrix,correct,correct,correct,correct,correct,ic.flip,ic.inc,correct,correct,correct,correct,correct,correct,correct,wp.matrix,correct,correct,correct,correct,correct,ic.inc,correct,correct,correct
14/12/2022 19:23,1,anonymous,1,118,correct,correct,correct,wp.matrix,correct,wp.copy,correct,wp.copy,wp.matrix,wp.copy.ic.flip,wp.matrix,d.union,correct,correct,wp.matrix,d.union,ic.neg,wp.matrix,correct,d.union,wp.copy,correct,correct,d.union,wp.copy,correct,ic.flip,ic.scale
14/12/2022 20:03,1,anonymous,1,119,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
15/12/2022 13:35,1,anonymous,1,120,ic.flip,correct,correct,ic.flip,correct,correct,correct,r.diag,correct,wp.copy.ic.flip,correct,r.left,ic.inc,correct,ic.flip,correct,correct,r.top,wp.matrix,correct,correct,correct,correct,correct,wp.copy,correct,correct,correct
15/12/2022 11:23,1,anonymous,1,121,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,ic.flip,wp.matrix,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
16/12/2022 21:41,1,anonymous,1,122,correct,correct,correct,correct,ic.flip,correct,correct,ic.flip,correct,wp.copy.ic.flip,r.top,wp.copy,correct,correct,r.top,correct,correct,correct,wp.matrix,correct,correct,correct,correct,correct,wp.copy,correct,correct,correct
16/12/2022 22:30,1,anonymous,1,123,ic.flip,correct,correct,correct,correct,correct,correct,correct,correct,wp.copy.ic.flip,correct,correct,correct,ic.inc,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
17/12/2022 13:27,1,anonymous,1,124,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,ic.flip,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,ic.scale
17/12/2022 19:44,1,anonymous,1,125,correct,correct,correct,correct,correct,correct,ic.scale,correct,correct,correct,correct,r.top,correct,correct,ic.flip,correct,ic.neg,d.union,correct,correct,correct,ic.flip,correct,correct,wp.copy,correct,correct,correct
19/12/2022 15:46,1,anonymous,1,126,correct,correct,correct,correct,ic.flip,correct,correct,ic.flip,correct,correct,r.top,r.left,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
19/12/2022 16:52,1,anonymous,1,127,correct,correct,correct,correct,correct,correct,correct,correct,correct,wp.copy.ic.flip,correct,correct,correct,correct,ic.flip,correct,correct,correct,ic.flip,correct,correct,correct,correct,correct,correct,correct,correct,ic.scale
19/12/2022 17:15,1,anonymous,1,128,correct,correct,correct,wp.matrix,correct,correct,correct,correct,correct,wp.copy.ic.flip,NA,r.left,correct,correct,correct,correct,correct,correct,correct,ic.flip,correct,correct,correct,correct,correct,d.union,correct,correct
13/12/2022 09:55,0,anonymous,1,129,NA,NA,NA,NA,NA,NA,NA,correct,NA,NA,NA,NA,correct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/12/2022 11:11,1,anonymous,1,130,correct,correct,correct,wp.matrix,correct,correct,r.diag,correct,correct,wp.matrix,correct,r.left,correct,correct,ic.flip,correct,correct,correct,correct,correct,correct,ic.flip,correct,correct,wp.copy,correct,ic.flip,correct
13/12/2022 12:23,0,anonymous,1,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/12/2022 12:22,0,anonymous,1,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/12/2022 12:58,0,anonymous,1,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/12/2022 13:54,0,anonymous,1,134,NA,NA,NA,NA,NA,correct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/12/2022 16:32,0,anonymous,1,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d.union,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/12/2022 16:45,1,anonymous,1,136,correct,wp.copy,correct,r.top,ic.inc,r.top,correct,correct,r.diag,wp.copy.ic.flip,correct,r.left,ic.inc,correct,correct,correct,ic.neg,wp.matrix,correct,ic.flip,correct,correct,correct,correct,wp.copy,correct,ic.flip,correct
13/12/2022 19:15,0,anonymous,1,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/12/2022 21:49,1,anonymous,1,138,correct,correct,correct,ic.flip,wp.copy,correct,correct,d.union,wp.copy,correct,correct,ic.inc,wp.copy,wp.matrix,correct,correct,correct,correct,wp.matrix,correct,correct,correct,correct,correct,wp.copy,correct,wp.matrix,correct
21/12/2022 08:51,1,anonymous,1,139,ic.flip,correct,correct,ic.flip,correct,correct,correct,correct,correct,correct,ic.flip,ic.inc,correct,correct,ic.flip,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
21/12/2022 09:46,1,anonymous,1,140,ic.flip,correct,correct,wp.copy,correct,r.left,wp.copy,correct,correct,wp.copy.ic.flip,r.diag,correct,r.top,correct,correct,r.diag,correct,wp.matrix,wp.matrix,correct,ic.scale,ic.flip,wp.matrix,correct,correct,wp.matrix,r.diag,correct
14/12/2022 12:12,0,anonymous,1,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2022 15:04,0,anonymous,1,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/12/2022 18:34,0,anonymous,1,143,r.top,correct,d.union,d.union,ic.flip,wp.matrix,r.diag,correct,ic.neg,wp.copy.ic.flip,wp.matrix,wp.copy,ic.inc,wp.matrix,NA,NA,NA,NA,NA,NA,NA,NA,ic.neg,NA,NA,NA,NA,NA
21/12/2022 22:34,1,anonymous,1,144,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,ic.flip,correct,correct,correct,ic.flip,correct,correct,correct,correct,ic.flip,correct,correct,correct,correct,ic.inc,ic.flip,correct,correct
22/12/2022 00:48,1,anonymous,1,145,wp.matrix,r.left,correct,ic.flip,wp.matrix,wp.copy,r.left,ic.flip,wp.matrix,wp.copy.ic.flip,r.diag,wp.copy,ic.flip,ic.inc,ic.flip,d.union,correct,wp.matrix,ic.flip,correct,r.left,ic.flip,correct,correct,wp.copy,ic.flip,correct,correct
14/12/2022 19:18,0,anonymous,1,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wp.matrix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22/12/2022 10:28,1,anonymous,1,147,ic.flip,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,wp.matrix,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,r.top,correct,correct,correct
22/12/2022 15:05,1,anonymous,1,148,correct,correct,correct,ic.flip,ic.flip,ic.inc,correct,correct,correct,ic.flip,correct,r.left,correct,correct,correct,correct,correct,ic.inc,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
22/12/2022 15:11,1,anonymous,1,149,correct,wp.copy,correct,ic.flip,ic.inc,correct,r.diag,correct,correct,wp.copy.ic.flip,r.top,wp.copy,correct,correct,ic.flip,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct
16/12/2022 12:30,0,anonymous,1,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/12/2022 15:49,0,anonymous,1,151,NA,correct,NA,NA,NA,NA,NA,NA,correct,wp.copy.ic.flip,NA,NA,NA,correct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/12/2022 15:12,0,anonymous,1,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/12/2022 18:14,0,anonymous,1,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correct,NA
16/12/2022 20:05,0,anonymous,1,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/12/2022 20:08,0,anonymous,1,155,ic.flip,NA,NA,NA,NA,NA,ic.inc,ic.flip,NA,NA,NA,NA,NA,wp.copy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/12/2022 20:15,0,anonymous,1,156,correct,NA,NA,NA,correct,correct,NA,correct,correct,NA,NA,NA,NA,ic.inc,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,wp.copy,correct,correct,correct
16/12/2022 23:28,0,anonymous,1,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/12/2022 10:57,0,anonymous,1,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24/12/2022 14:04,1,anonymous,1,159,correct,correct,correct,wp.matrix,correct,correct,correct,correct,correct,ic.flip,wp.copy,r.top,correct,correct,ic.flip,correct,correct,r.top,wp.matrix,correct,correct,correct,correct,correct,r.top,correct,correct,correct
24/12/2022 14:28,1,anonymous,1,160,correct,correct,r.top,correct,correct,correct,correct,ic.flip,correct,correct,r.top,correct,NA,ic.inc,ic.flip,correct,correct,correct,correct,correct,correct,ic.flip,ic.neg,correct,r.top,correct,correct,correct
24/12/2022 14:21,1,anonymous,1,161,correct,correct,correct,r.top,ic.inc,wp.matrix,r.diag,r.diag,r.diag,correct,r.diag,wp.matrix,wp.matrix,ic.inc,r.top,r.diag,correct,wp.matrix,wp.matrix,correct,correct,ic.flip,correct,correct,r.top,r.left,correct,ic.scale
18/12/2022 23:28,0,anonymous,1,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,correct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
